ORF	Condition1	Condition2	x Coord	y Coord	Area	Eccentricity	Perimeter
YDR456W	galactose	glutamate	168.440120	150.733533	334.000000	0.533240	67.355339
YBR156C	galactose	glutamate	306.923750	150.970000	800.000000	0.382406	102.911688
YDR453C	galactose	glutamate	445.881041	150.667286	538.000000	0.391337	85.012193
YBR151W	galactose	glutamate	583.917840	148.715962	426.000000	0.552463	80.183766
YDR452W	galactose	glutamate	722.222222	149.989542	765.000000	0.371964	100.669048
YBR149W	galactose	glutamate	860.529915	146.991453	468.000000	0.485569	80.769553
wild-type	galactose	glutamate	998.872236	148.987715	814.000000	0.402950	104.083261
wild-type	galactose	glutamate	1136.300971	147.215534	515.000000	0.645917	87.840620
YDR451C	galactose	glutamate	1278.000000	148.000000	0.000000	0.000000	0.000000
YBR148W	galactose	glutamate	1414.095087	147.274168	631.000000	0.216889	91.254834
YDR450W	galactose	glutamate	1554.000000	148.000000	0.000000	0.000000	0.000000
YBR147W	galactose	glutamate	1691.448124	145.041943	453.000000	0.425280	77.112698
wild-type	galactose	glutamate	1829.198980	146.484694	588.000000	0.380222	88.426407
wild-type	galactose	glutamate	1967.417160	146.452663	676.000000	0.379198	95.597980
YDR447C	galactose	glutamate	2105.213001	144.901798	723.000000	0.136704	98.325902
YBR146W	galactose	glutamate	2243.920162	145.514208	739.000000	0.388673	98.911688
YDR446W	galactose	glutamate	2382.000000	148.000000	0.000000	0.000000	0.000000
YBR145W	galactose	glutamate	2521.758621	141.071429	406.000000	0.493381	74.526912
YDR443C	galactose	glutamate	2658.000000	148.000000	0.000000	0.000000	0.000000
YBR144C	galactose	glutamate	2797.299065	141.797508	642.000000	0.535432	97.254834
blank	galactose	glutamate	2938.163580	140.027778	324.000000	0.458141	65.941125
blank	galactose	glutamate	3072.000000	148.000000	0.000000	0.000000	0.000000
YDR442W	galactose	glutamate	3213.754902	139.762255	408.000000	0.584369	75.597980
YBR141C	galactose	glutamate	3349.886587	142.958561	917.000000	0.245903	111.982756
YDL115C	galactose	glutamate	174.000000	290.000000	0.000000	0.000000	0.000000
YCR088W	galactose	glutamate	309.466258	292.613497	489.000000	0.414010	80.769553
YOR180C	galactose	glutamate	447.896386	293.195181	415.000000	0.462002	73.941125
YCR083W	galactose	glutamate	588.000000	290.000000	0.000000	0.000000	0.000000
YOR179C	galactose	glutamate	724.380952	292.195767	378.000000	0.329481	69.698485
YCR075C	galactose	glutamate	862.923729	290.991525	472.000000	0.453430	78.769553
wild-type	galactose	glutamate	1000.970954	288.829876	482.000000	0.431409	81.597980
wild-type	galactose	glutamate	1140.000000	290.000000	0.000000	0.000000	0.000000
YNL096C	galactose	glutamate	1277.815618	287.804772	461.000000	0.537381	79.112698
YCR073C	galactose	glutamate	1416.057471	287.204598	435.000000	0.526133	75.112698
YPL137C	galactose	glutamate	1555.243437	286.921241	419.000000	0.628963	74.284271
YCR069W	galactose	glutamate	1692.000000	290.000000	0.000000	0.000000	0.000000
wild-type	galactose	glutamate	1831.256906	285.127072	362.000000	0.613253	70.284271
wild-type	galactose	glutamate	1969.093333	285.434667	375.000000	0.357530	70.183766
YPL078C	galactose	glutamate	2106.000000	290.000000	0.000000	0.000000	0.000000
YCR067C	galactose	glutamate	2245.295597	283.427673	318.000000	0.424921	64.284271
YPL036W	galactose	glutamate	2382.000000	290.000000	0.000000	0.000000	0.000000
YCR062W	galactose	glutamate	2520.000000	290.000000	0.000000	0.000000	0.000000
YPL034W	galactose	glutamate	2660.057940	280.742489	466.000000	0.722275	83.597980
YCR060W	galactose	glutamate	2799.472684	281.522565	421.000000	0.672500	78.526912
blank	galactose	glutamate	2934.000000	290.000000	0.000000	0.000000	0.000000
blank	galactose	glutamate	3072.000000	290.000000	0.000000	0.000000	0.000000
YPL027W	galactose	glutamate	3210.000000	290.000000	0.000000	0.000000	0.000000
YCR048W	galactose	glutamate	3351.511754	282.735986	553.000000	0.466333	87.497475
YDR441C	galactose	glutamate	174.000000	432.000000	0.000000	0.000000	0.000000
YBR139W	galactose	glutamate	312.000000	432.000000	0.000000	0.000000	0.000000
wild-type	galactose	glutamate	448.161290	431.545906	403.000000	0.197447	73.941125
wild-type	galactose	glutamate	586.227586	431.052874	435.000000	0.213947	78.769553
YDR440W	galactose	glutamate	724.447537	430.533191	467.000000	0.412111	87.840620
YBR138C	galactose	glutamate	863.143885	429.920863	417.000000	0.292883	76.426407
YDR439W	galactose	glutamate	1001.600000	430.021978	455.000000	0.463618	85.840620
YBR137W	galactose	glutamate	1139.200000	428.813793	435.000000	0.686270	80.426407
YDR438W	galactose	glutamate	1277.659259	428.380247	405.000000	0.598702	75.012193
YBR134W	galactose	glutamate	1416.692875	426.904177	407.000000	0.612215	75.941125
YDL095W	galactose	glutamate	1554.325980	426.882353	408.000000	0.534459	75.012193
YBR132C	galactose	glutamate	1692.880519	426.685714	385.000000	0.686273	74.183766
YDL094C	galactose	glutamate	1830.348525	425.906166	373.000000	0.579778	70.183766
